LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,yearly_rain_lag,AirTemp,WaterTemp,water_flow,water_regime,WaterVis,DrySurvey,MaxD_yearly,MaxD_proportion,dir_dur,cum_sun_hours,status
MC01,2001,Milagra Creek,75,6.14,0.26,1,24.22,0.06,NA,NA,lentic,seasonal,NA,TRUE,0.3017391304347826,0.861671469740634,9.30380249,782.420449212,2
MC01,2002,Milagra Creek,75,17.48,NA,1,39.89,37.42,14,8,lentic,seasonal,NA,FALSE,3.268333333333333,NA,9.30380249,782.420449212,2
MC01,2003,Milagra Creek,86,21.26,NA,1,39.8,38.79,14,8.5,lentic,seasonal,NA,FALSE,1.28,NA,9.269330978,884.830785706,2
RC01,2003,Redwood Creek,119,29.25,NA,1,39.8,38.79,9,12,lentic,perennial,NA,FALSE,NA,NA,9.908557892,1194.413412096,2
RC02,2003,Redwood Creek,142,32.14,0.27,1,39.8,38.79,12,12,lentic,seasonal,NA,FALSE,0.27,1,10.71093559,1431.731825837,2
RC03,2003,Redwood Creek,151,32.48,NA,1,39.8,38.79,14,17,lentic,seasonal,NA,FALSE,NA,NA,11.13851833,1530.668602012,2
LS01,2004,Laguna Salada,128,22.99,NA,1,32.29,24.22,12.1,10.7,lentic,perennial,NA,FALSE,NA,NA,10.28089428,1290.547045697,2
MC01,2004,Milagra Creek,107,19.79,1.33,1,32.29,24.22,9.6,9.2,lentic,seasonal,1,FALSE,1.3322500000000002,0.9983111277913304,9.670017242,1082.906727742,2
LS01,2005,Laguna Salada,133,27.44,NA,1,47.34,39.89,16.1,NA,lentic,perennial,NA,FALSE,NA,NA,10.47941113,1342.323606487,2
LS05,2005,Laguna Salada,124,27.43,NA,1,47.34,39.89,17,14.6,lentic,perennial,NA,FALSE,NA,NA,10.14125061,1248.127576824,2
MC01,2005,Milagra Creek,80,13.16,0.52,1,47.34,39.89,8,9,lentic,seasonal,NA,FALSE,2.6141176470588237,0.1989198919891989,9.31821537,829.013136819,2
RL02,2005,Rodeo Lagoon,103,26.16,NA,1,47.34,39.89,12,9,lentic,perennial,NA,FALSE,1.5,NA,10.26070023,1088.896719005,2
LS01,2006,Laguna Salada,97,29.35,NA,1,55.78,39.8,17.7,NA,lentic,perennial,NA,FALSE,NA,NA,9.47701931,986.246372218,2
LS05,2006,Laguna Salada,97,29.35,NA,1,55.78,39.8,NA,10,lentic,perennial,NA,FALSE,NA,NA,9.438557625,985.083929063,2
LS06,2006,Laguna Salada,116,31.03,1.16,1,55.78,39.8,15,10,lentic,seasonal,0,FALSE,1.16,1,9.840676308,1165.900489801,2
MC01,2006,Milagra Creek,97,29.35,3.75,1,55.78,39.8,NA,11.5,lentic,seasonal,0,FALSE,3.533333333333333,1.0613207547169812,9.438557625,987.742209387,2
RL02,2006,Rodeo Lagoon,94,29.12,2,1,55.78,39.8,12,10.5,lentic,perennial,NA,FALSE,1.8,1.1111111111111112,10.00712109,996.892016435,2
LS01,2007,Laguna Salada,136,17.28,0.37,1,24.29,32.29,17.78,13.34,lentic,perennial,NA,FALSE,0.3811111111111111,0.9708454810495626,10.50034332,1373.739923467,2
LS05,2007,Laguna Salada,117,12.41,NA,1,24.29,32.29,NA,NA,lentic,perennial,1,FALSE,2,NA,9.886822701,1177.906694413,2
MC01,2007,Milagra Creek,101,12.28,0.03,1,24.29,32.29,11,NA,lentic,seasonal,NA,FALSE,0.4511428571428572,0.06649778340721975,9.439745903,1025.465004873,2
RL02,2007,Rodeo Lagoon,109,12.28,NA,1,24.29,32.29,9,5,lentic,perennial,1,FALSE,2,NA,10.37549591,1150.905231495,2
LS01,2008,Laguna Salada,120,23.87,NA,1,31.21,47.34,12.8,15.6,lentic,perennial,NA,FALSE,NA,NA,10.00475025,1209.296761507,2
LS04,2008,Laguna Salada,135,28.59,NA,1,31.21,47.34,NA,NA,lentic,perennial,NA,FALSE,NA,NA,10.48674011,1362.798829068,2
LS05,2008,Laguna Salada,107,17.04,1.5,8,31.21,47.34,16,8,lentic,perennial,0,FALSE,1.5,1,9.670017242,1080.215481758,2
LS06,2008,Laguna Salada,134,28.58,1.3,1,31.21,47.34,13,15,lentic,seasonal,0,FALSE,1.3,1,10.39590073,1348.727827063,2
LS08,2008,Laguna Salada,155,30.52,1.5,4,31.21,47.34,15.5,18.5,lentic,perennial,0,FALSE,1.5,1,11.3230772,1577.963373155,2
LS11,2008,Laguna Salada,128,28.58,NA,1,31.21,47.34,15,NA,lentic,perennial,NA,FALSE,NA,NA,10.28089428,1292.423912057,2
MC01,2008,Milagra Creek,107,17.04,1.2,30,31.21,47.34,11,8,lentic,seasonal,0,FALSE,1.2375,0.9696969696969696,9.670017242,1082.906727742,2
RL02,2008,Rodeo Lagoon,108,17.04,NA,1,31.21,47.34,NA,NA,lentic,perennial,1,FALSE,NA,NA,10.34798431,1140.529735585,2
LS01,2009,Laguna Salada,94,8.8,0.37,1,29.08,55.78,11,8,lentic,perennial,NA,FALSE,0.43195652173913046,0.8565676899849018,9.328244209,958.016866679,2
LS05,2009,Laguna Salada,114,9.45,0.9,1,29.08,55.78,NA,10,lentic,perennial,1,FALSE,0.9625,0.935064935064935,9.828181267,1148.346621513,2
LS07,2009,Laguna Salada,91,8.4,NA,1,29.08,55.78,15,10,lentic,seasonal,0,FALSE,NA,NA,9.3055439,927.246989237,2
LS08,2009,Laguna Salada,91,8.4,0.85,1,29.08,55.78,13.7,11,lentic,perennial,1,FALSE,0.844,1.0071090047393365,9.3055439,928.1168251,2
LS09,2009,Laguna Salada,159,24.53,NA,1,29.08,55.78,NA,NA,lotic,perennial,NA,FALSE,NA,NA,11.44947338,1628.124195083,2
MC01,2009,Milagra Creek,159,24.53,1.19,1,29.08,55.78,10.6,8,lentic,seasonal,0,FALSE,1.19,1,11.44947338,1629.555332128,2
RL02,2009,Rodeo Lagoon,160,24.54,NA,1,29.08,55.78,17.8,10.7,lentic,perennial,1,FALSE,NA,NA,11.44649506,1703.351086645,2
LS01,2010,Laguna Salada,87,11.38,0.52,1,42.65,24.29,18,13,lentic,perennial,1,FALSE,0.7314285714285714,0.7109375,9.279340744,892.92476272,2
LS04,2010,Laguna Salada,104,12.91,NA,1,42.65,24.29,18,14,lentic,perennial,NA,FALSE,NA,NA,9.594127655,1052.478847497,2
LS05,2010,Laguna Salada,97,12.03,1.17,1,42.65,24.29,17.5,NA,lentic,perennial,1,FALSE,1.2025,0.972972972972973,9.438557625,985.083929063,2
LS06,2010,Laguna Salada,119,22.67,1.1,1,42.65,24.29,16.8,12,lentic,seasonal,1,FALSE,1.1,1,9.991209984,1195.733046526,2
LS07,2010,Laguna Salada,97,12.03,1.14,1,42.65,24.29,17.4,13,lentic,seasonal,0,FALSE,1.37125,0.8313582497721056,9.40009594,983.276860224,2
LS08,2010,Laguna Salada,97,12.03,1.01,1,42.65,24.29,18.5,11,lentic,perennial,0,FALSE,1.144,0.8828671328671329,9.438557625,984.185157772,2
LS11,2010,Laguna Salada,132,25.23,NA,1,42.65,24.29,18,12,lentic,perennial,NA,FALSE,NA,NA,10.39009571,1333.721061717,2
MC01,2010,Milagra Creek,119,22.67,1.23,1,42.65,24.29,15.8,14,lentic,seasonal,0,FALSE,1.220735294117647,1.0075894470545717,10.02454281,1200.686897231,2
RL02,2010,Rodeo Lagoon,125,23.07,NA,1,42.65,24.29,15.7,13,lentic,perennial,0,FALSE,2.5,NA,10.58958149,1318.872338305,2
LS01,2011,Laguna Salada,95,24.18,0.64,1,50.91,31.21,16,12,lentic,perennial,NA,FALSE,0.67,0.9552238805970148,9.351371765,967.368238444,2
LS04,2011,Laguna Salada,86,19.24,NA,1,50.91,31.21,13,NA,lentic,perennial,NA,FALSE,0.7,NA,9.227663994,883.34789466,2
LS05,2011,Laguna Salada,97,24.19,1.37,1,50.91,31.21,17.9,8,lentic,perennial,0,FALSE,1.37,1,9.438557625,985.083929063,2
LS06,2011,Laguna Salada,97,24.19,NA,1,50.91,31.21,15.6,9,lentic,seasonal,0,FALSE,1.465,NA,9.40009594,983.733843797,2
LS07,2011,Laguna Salada,76,13.06,1,1,50.91,31.21,21.4,10,lentic,seasonal,1,FALSE,1.4515,0.6889424733034791,9.293087006,788.122764572,2
LS08,2011,Laguna Salada,76,13.06,1.07,1,50.91,31.21,16.8,11,lentic,perennial,1,FALSE,1.07,1,9.293087006,788.992600435,2
LS09,2011,Laguna Salada,166,36.48,NA,1,50.91,31.21,NA,NA,lotic,perennial,NA,FALSE,NA,NA,11.78243637,1709.484373073,2
LS11,2011,Laguna Salada,88,22.68,NA,1,50.91,31.21,14,13,lentic,perennial,NA,FALSE,NA,NA,9.312261581,903.449420921,2
MC01,2011,Milagra Creek,97,24.19,1.11,1,50.91,31.21,8.5,8,lentic,seasonal,0,FALSE,1.0492,1.0579489134578726,9.438557625,987.742209387,2
RL02,2011,Rodeo Lagoon,101,24.2,NA,1,50.91,31.21,13,7,lentic,perennial,0,FALSE,2.1,NA,10.20927143,1068.337820075,2
KC01,2012,Kanoff Creek,122,11.96,NA,1,28.01,29.08,NA,NA,lentic,seasonal,0,FALSE,0.85,NA,10.14222336,1234.000929846,2
LS01,2012,Laguna Salada,118,11.96,NA,1,28.01,29.08,16.1,15,lentic,perennial,0,FALSE,0.58,NA,9.95452404,1189.300801273,2
LS04,2012,Laguna Salada,136,12.78,15,1,28.01,29.08,14.5,11.4,lentic,perennial,1,FALSE,15,1,10.50034332,1373.299172388,2
LS05,2012,Laguna Salada,123,11.97,1.29,1,28.01,29.08,NA,NA,lentic,perennial,1,FALSE,1.255,1.0278884462151396,10.08317661,1237.986326214,2
LS06,2012,Laguna Salada,123,11.97,0.99,1,28.01,29.08,NA,NA,lentic,seasonal,NA,FALSE,0.97125,1.0193050193050193,10.08317661,1235.866944303,2
LS07,2012,Laguna Salada,104,4.97,NA,1,28.01,29.08,22.6,NA,lentic,seasonal,0,FALSE,0.9520408163265306,NA,9.51995182,1049.249836908,2
LS08,2012,Laguna Salada,104,4.97,NA,1,28.01,29.08,19.8,NA,lentic,perennial,0,FALSE,1.5725,NA,9.558413506,1050.435272213,2
LS11,2012,Laguna Salada,118,11.96,NA,1,28.01,29.08,16.1,15.6,lentic,perennial,NA,FALSE,NA,NA,9.99023819,1190.959902757,2
MC01,2012,Milagra Creek,123,11.97,NA,1,28.01,29.08,NA,NA,lentic,seasonal,NA,FALSE,0.11541666666666668,NA,10.11889076,1240.892223308,2
RC07,2012,Redwood Creek,139,12.85,0.85,1,28.01,29.08,17,15,lentic,perennial,1,FALSE,0.85,1,10.55290222,1394.915856335,2
RC10,2012,Redwood Creek,139,12.85,0.7,1,28.01,29.08,19,15,lentic,seasonal,1,FALSE,0.7,1,10.58623505,1400.600060476,2
RL02,2012,Rodeo Lagoon,94,4.97,1.38,1,28.01,29.08,12,9,lentic,perennial,0,FALSE,1.4225,0.9701230228471002,10.00712109,996.892016435,2
KC01,2013,Kanoff Creek,70,13.94,0.65,1,26.13,42.65,18,NA,lentic,seasonal,1,FALSE,0.7203333333333333,0.9023600185099492,9.364490509,737.12034703,2
KC02,2013,Kanoff Creek,148,22.31,0.47,1,26.13,42.65,17.2,NA,both,seasonal,1,FALSE,0.47,1,11.58754921,1607.90272428,2
LS01,2013,Laguna Salada,114,21.84,NA,1,26.13,42.65,17.2,11.1,lentic,perennial,0,FALSE,NA,NA,9.828181267,1149.786204333,2
LS04,2013,Laguna Salada,127,21.84,NA,1,26.13,42.65,15,11.7,lentic,perennial,0,FALSE,NA,NA,10.21502304,1279.825400338,2
LS05,2013,Laguna Salada,113,21.55,1.29,1,26.13,42.65,18.5,8,lentic,perennial,1,FALSE,1.255,1.0278884462151396,9.814224243,1138.518440246,2
LS06,2013,Laguna Salada,113,21.55,1.25,1,26.13,42.65,20.6,11,lentic,seasonal,1,FALSE,1.1755555555555557,1.063327032136106,9.778510094,1136.434772485,2
LS07,2013,Laguna Salada,70,13.94,NA,1,26.13,42.65,20,NA,lentic,seasonal,1,FALSE,1.327441860465116,NA,9.331157684,732.309782012,2
LS08,2013,Laguna Salada,94,21.01,NA,1,26.13,42.65,17.5,NA,lentic,perennial,1,FALSE,1.35,NA,9.328244209,956.03257465,2
LS11,2013,Laguna Salada,72,14.1,NA,1,26.13,42.65,13.3,14.4,lentic,perennial,NA,FALSE,NA,NA,9.33058548,754.365291588,2
MC01,2013,Milagra Creek,70,13.94,0.73,1,26.13,42.65,NA,NA,lentic,seasonal,1,FALSE,0.9365714285714286,0.7794386821232459,9.364490509,735.697591737,2
RC07,2013,Redwood Creek,93,21.01,0.72,1,26.13,42.65,11,5.5,lentic,perennial,1,FALSE,0.72,1,9.270742416,941.736518843,2
RC10,2013,Redwood Creek,116,21.84,NA,1,26.13,42.65,14.9,14.2,lentic,seasonal,NA,FALSE,NA,NA,9.895588875,1165.608335491,2
RL02,2013,Rodeo Lagoon,71,14.04,1.2,1,26.13,42.65,15.5,12.5,lentic,perennial,0,FALSE,1.2,1,9.986272812,770.589638732,2
KC01,2014,Kanoff Creek,134,13.5,0.5,1,22.93,50.91,NA,15,lentic,seasonal,NA,FALSE,0.5,1,10.4649477,1357.812500986,2
LS01,2014,Laguna Salada,133,13.5,NA,1,22.93,50.91,15,15.6,lentic,perennial,1,FALSE,NA,NA,10.47941113,1342.323606487,2
LS04,2014,Laguna Salada,114,2.21,NA,1,22.93,50.91,21.7,10.6,lentic,perennial,0,FALSE,NA,NA,9.828181267,1149.488677017,2
LS05,2014,Laguna Salada,147,13.92,0.99,1,22.93,50.91,NA,NA,lentic,perennial,0,FALSE,0.99,1,11.02221584,1490.459021564,2
LS07,2014,Laguna Salada,134,13.5,NA,1,22.93,50.91,NA,NA,lentic,seasonal,0,FALSE,0.08,NA,10.39590073,1348.069287284,2
LS08,2014,Laguna Salada,134,13.5,0.82,1,22.93,50.91,NA,NA,lentic,perennial,NA,FALSE,0.82,1,10.39590073,1349.456278795,2
LS11,2014,Laguna Salada,133,13.5,NA,1,22.93,50.91,15,15.6,lentic,perennial,1,FALSE,NA,NA,10.47941113,1344.200472847,2
MC01,2014,Milagra Creek,134,13.5,0.02,1,22.93,50.91,NA,NA,lentic,seasonal,0,FALSE,0.04384615384615385,0.45614035087719296,10.46732903,1354.256952228,2
RC07,2014,Redwood Creek,141,13.92,1.28,1,22.93,50.91,14.5,NA,lentic,perennial,0,FALSE,1.194,1.0720268006700169,10.67331791,1416.199189165,2
RC13,2014,Redwood Creek,122,2.25,0.96,1,22.93,50.91,18.2,15.5,lentic,perennial,1,FALSE,0.96,1,10.08416653,1224.39371109,2
RC14,2014,Redwood Creek,141,13.92,NA,1,22.93,50.91,NA,14,lentic,perennial,1,FALSE,NA,NA,10.67844677,1423.273720749,2
RL02,2014,Rodeo Lagoon,142,13.92,NA,1,22.93,50.91,NA,NA,lentic,perennial,1,FALSE,NA,NA,10.92696095,1501.670293835,2
KC01,2015,Kanoff Creek,69,9.98,0.8,1,27.67,28.01,NA,NA,lentic,seasonal,0,FALSE,0.7001754385964912,1.1425707842645954,9.416472435,727.755856521,2
LS01,2015,Laguna Salada,104,22.12,NA,1,27.67,28.01,18.9,13.9,lentic,perennial,1,FALSE,NA,NA,9.594127655,1052.776374813,2
LS04,2015,Laguna Salada,126,22.13,NA,1,27.67,28.01,16.7,15.6,lentic,perennial,NA,FALSE,NA,NA,10.20397568,1269.610377298,2
LS05,2015,Laguna Salada,90,22.11,1.28,1,27.67,28.01,13,9,lentic,perennial,1,FALSE,1.28,1,9.286603928,919.671591759,2
LS06,2015,Laguna Salada,90,22.11,1.34,1,27.67,28.01,14,11,lentic,seasonal,1,FALSE,1.2333333333333334,1.0864864864864865,9.286603928,918.39842891,2
LS07,2015,Laguna Salada,69,9.98,0.49,1,27.67,28.01,18.3,17,lentic,seasonal,0,FALSE,1.1465,0.42738770170082857,9.380758286,722.978624328,2
LS08,2015,Laguna Salada,90,22.11,1.71,1,27.67,28.01,14.6,10,lentic,perennial,1,FALSE,1.697,1.0076605774896876,9.286603928,918.8112812,2
LS11,2015,Laguna Salada,78,20.35,NA,1,27.67,28.01,20,16.7,lentic,perennial,0,FALSE,NA,NA,9.326994896,810.368377678,2
MC01,2015,Milagra Creek,69,9.98,0.24,1,27.67,28.01,17.9,16,lentic,seasonal,0,FALSE,0.44626666666666664,0.537795040334628,9.416472435,726.333101228,2
RC07,2015,Redwood Creek,68,9.98,1.19,1,27.67,28.01,19.5,16.4,lentic,perennial,1,FALSE,1.1032786885245902,1.0786032689450222,9.290808678,710.746789916,2
RC11,2015,Redwood Creek,141,24.62,NA,1,27.67,28.01,NA,NA,lentic,seasonal,NA,FALSE,NA,NA,10.67844677,1419.579771012,2
RC14,2015,Redwood Creek,141,24.62,NA,1,27.67,28.01,NA,NA,lentic,perennial,NA,FALSE,NA,NA,10.67844677,1423.273720749,2
RC20,2015,Redwood Creek,141,24.62,NA,1,27.67,28.01,NA,NA,both,perennial,NA,FALSE,NA,NA,10.67844677,1424.62292097,2
RL02,2015,Rodeo Lagoon,100,22.11,NA,1,27.67,28.01,18,13,lentic,perennial,NA,FALSE,NA,NA,10.28956413,1058.128548645,2
TV02,2015,Tennessee Valley,114,22.13,NA,1,27.67,28.01,16,12,lentic,perennial,1,FALSE,NA,NA,9.644785881,1130.113215443,2
KC01,2016,Kanoff Creek,90,8.78,0.64,1,29.78,26.13,14.2,5,lentic,seasonal,0,FALSE,0.6581481481481481,0.972425436128306,9.366732597,924.361943252,2
LS01,2016,Laguna Salada,127,18.63,NA,1,29.78,26.13,16.1,13.9,lentic,perennial,1,FALSE,NA,NA,10.21502304,1280.266151417,2
LS04,2016,Laguna Salada,141,19.64,NA,1,29.78,26.13,16.1,14.4,lentic,perennial,NA,FALSE,NA,NA,10.69867706,1426.553709968,2
LS07,2016,Laguna Salada,103,12.08,1.42,1,29.78,26.13,15,11.5,lentic,seasonal,0,FALSE,1.4575,0.974271012006861,9.44603157,1039.729885088,2
LS08,2016,Laguna Salada,117,17.47,1.7,2,29.78,26.13,20.7,13,lentic,perennial,1,FALSE,1.7,1,9.886822701,1176.515764234,2
LS11,2016,Laguna Salada,104,12.08,NA,1,29.78,26.13,15.6,11.1,lentic,perennial,0,FALSE,0.12,NA,9.55566597,1053.953056328,2
MC01,2016,Milagra Creek,103,12.08,0.54,1,29.78,26.13,19.3,13,lentic,seasonal,NA,FALSE,0.6576000000000001,0.8211678832116788,9.48174572,1044.433910322,2
RC07,2016,Redwood Creek,91,8.790000000000001,1.12,1,29.78,26.13,9.2,7,lentic,perennial,NA,FALSE,1.2408771929824562,0.9025873038314718,9.236112595,923.279032691,2
RC10,2016,Redwood Creek,119,17.47,2,1,29.78,26.13,17.2,12,lentic,seasonal,1,FALSE,2,1,9.906177521,1195.303673741,2
RC11,2016,Redwood Creek,119,17.47,1.5,1,29.78,26.13,15,13,lentic,seasonal,1,FALSE,1.5,1,9.872843742,1192.954011882,2
RC15,2016,Redwood Creek,175,28.26,0.4,1,29.78,26.13,20.6,13,lentic,seasonal,0,FALSE,0.4,1,12.0928936,1808.581658387,2
RL02,2016,Rodeo Lagoon,119,17.47,0.91,1,29.78,26.13,17.4,12.3,lentic,perennial,1,FALSE,0.91,1,10.46666145,1255.311584485,2
TV02,2016,Tennessee Valley,103,12.08,1.32,1,29.78,26.13,NA,NA,lentic,perennial,1,FALSE,1.315,1.0038022813688214,9.32584095,1025.712877271,2
KC01,2017,Kanoff Creek,51,6.84,0.66,1,56.51,22.93,16.7,15,lentic,seasonal,1,FALSE,0.7291176470588235,0.9052037111738604,9.849019051,555.360416419,2
KC02,2017,Kanoff Creek,108,26.37,0.73,1,56.51,22.93,13.9,9,both,seasonal,1,FALSE,0.73,1,10.41068935,1167.45733646,2
KC03,2017,Kanoff Creek,108,26.37,0.23,1,56.51,22.93,13.8,9,lentic,seasonal,0,FALSE,0.23333333333333336,0.9857142857142858,10.41068935,1168.40984444,2
